                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0513,                 2.4625,                 1.3672,                0.65147,                0.87158,                 0.8173,                0.59551,                0.90672,                 1.8882,                 1.0915,             0.00047045,             0.00047045,             0.00047045
                      2,                 1.0583,                  1.799,                 1.3711,                0.88748,                0.87028,                0.91156,                0.67258,                 1.0001,                 1.8932,                 1.1751,              0.0008843,              0.0008843,              0.0008843
                      3,                 1.0637,                  1.652,                 1.3473,                0.96372,                0.85681,                0.94703,                0.71422,                0.96349,                 1.5671,                 1.1678,              0.0012353,              0.0012353,              0.0012353
                      4,                 1.0788,                 1.5894,                  1.338,                0.86119,                 0.7899,                0.88776,                0.62818,                 1.0622,                 1.7253,                 1.2346,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.0473,                 1.4769,                 1.3184,                0.95657,                0.95305,                0.96012,                0.71808,                0.97913,                 1.1749,                 1.1839,              0.0010517,              0.0010517,              0.0010517
                      6,                0.98771,                 2.0889,                 1.3794,                0.91529,                0.91442,                0.92617,                0.68082,                0.97522,                 1.4026,                 1.1876,             0.00095743,             0.00095743,             0.00095743
                      7,                0.93047,                 1.7592,                 1.2788,                0.95796,                0.89129,                0.96719,                0.73362,                0.90514,                 1.5126,                 1.2202,             0.00086312,             0.00086312,             0.00086312
                      8,                0.96426,                 1.6766,                 1.3577,                 0.9758,                0.94364,                0.97479,                0.71337,                 1.0026,                 1.2124,                 1.1632,              0.0007688,              0.0007688,              0.0007688
                      9,                0.88684,                 1.5642,                   1.27,                0.86612,                 0.8908,                0.96016,                0.72808,                0.96269,                 1.2597,                  1.166,             0.00067449,             0.00067449,             0.00067449
                     10,                0.86971,                 1.4554,                 1.2389,                0.95401,                0.96154,                0.97658,                0.73496,                 0.9558,                 1.0998,                 1.1772,             0.00058017,             0.00058017,             0.00058017
                     11,                0.84601,                 1.3357,                 1.2466,                0.98487,                0.93228,                0.96595,                0.72273,                0.97077,                 1.0823,                 1.1805,             0.00048586,             0.00048586,             0.00048586
                     12,                0.83604,                 1.3177,                 1.2129,                 0.9888,                   0.97,                0.97656,                0.74813,                0.88573,                0.98477,                 1.1099,             0.00039155,             0.00039155,             0.00039155
                     13,                0.79809,                  1.275,                 1.1719,                0.97228,                0.97321,                0.98441,                0.72774,                0.97986,                 1.0467,                   1.14,             0.00029723,             0.00029723,             0.00029723
                     14,                 0.7596,                 1.2463,                 1.1411,                0.96716,                0.97656,                0.99184,                0.76416,                0.86474,                0.92225,                 1.0677,             0.00020292,             0.00020292,             0.00020292
                     15,                0.73977,                 1.1819,                 1.1405,                0.98589,                0.97099,                0.99184,                0.78242,                0.82004,                0.88154,                 1.0524,              0.0001086,              0.0001086,              0.0001086
