                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0544,                 2.7842,                 1.3463,                0.00377,                      1,                0.57616,                0.43708,                0.80629,                 2.9699,                 1.1122,             0.00021435,             0.00021435,             0.00021435
                      2,                0.95597,                  1.724,                  1.268,                      1,                0.35287,                0.88836,                0.60394,                0.96889,                  2.585,                 1.2788,             0.00044007,             0.00044007,             0.00044007
                      3,                0.95595,                 1.4554,                 1.2526,                 0.9235,                0.82155,                0.91861,                0.68767,                 1.0095,                  2.083,                 1.2841,             0.00066276,             0.00066276,             0.00066276
                      4,                 0.9747,                 1.3297,                 1.2509,                0.73998,                 0.5536,                0.68869,                0.46497,                 1.1583,                 2.5646,                 1.4355,             0.00088244,             0.00088244,             0.00088244
                      5,                0.97946,                 1.2732,                 1.2252,                0.91388,                 0.8902,                0.95543,                0.71685,                0.99072,                 1.6049,                 1.3493,              0.0010991,              0.0010991,              0.0010991
                      6,                0.98347,                 1.1931,                 1.2169,                0.91626,                0.78173,                0.93318,                0.61653,                 1.2676,                 1.8112,                 1.4747,              0.0013128,              0.0013128,              0.0013128
                      7,                  0.967,                 1.1612,                 1.2222,                0.72838,                0.77165,                0.84733,                0.55331,                 1.1402,                 2.0782,                 1.5232,              0.0013724,              0.0013724,              0.0013724
                      8,                0.95075,                 1.1251,                 1.2089,                0.76592,                0.62288,                0.68536,                0.40128,                 1.4066,                 2.5027,                 1.8213,               0.001363,               0.001363,               0.001363
                      9,                0.95379,                 1.0528,                 1.2097,                0.62162,                0.77629,                0.81827,                0.54177,                 1.3463,                 2.2245,                 1.5484,              0.0013535,              0.0013535,              0.0013535
                     10,                0.93761,                 1.0522,                 1.1827,                 0.8905,                0.89184,                0.94941,                0.69896,                 1.1381,                 1.6794,                 1.4264,              0.0013441,              0.0013441,              0.0013441
                     11,                0.94974,                 1.0005,                 1.1977,                0.71885,                0.55203,                0.58368,                0.34258,                 1.4861,                 2.4447,                 1.9555,              0.0013347,              0.0013347,              0.0013347
                     12,                0.96175,                0.93835,                 1.2202,                0.53931,                0.64817,                 0.6195,                 0.3339,                 1.7938,                 2.8355,                  2.367,              0.0013253,              0.0013253,              0.0013253
                     13,                0.94897,                0.87102,                 1.2211,                0.91425,                0.89432,                 0.9559,                 0.6604,                   1.09,                 1.2105,                 1.2744,              0.0013158,              0.0013158,              0.0013158
                     14,                0.94493,                0.90511,                 1.2046,                0.93197,                0.86078,                0.93362,                0.68166,                 1.1034,                 1.0935,                 1.2991,              0.0013064,              0.0013064,              0.0013064
                     15,                0.91244,                0.84408,                 1.1688,                0.91687,                0.87648,                0.94243,                0.70463,                 1.0388,                0.95851,                 1.2265,               0.001297,               0.001297,               0.001297
                     16,                0.89796,                0.82218,                 1.1485,                0.87149,                0.94408,                0.93884,                0.70005,                 1.0643,                 1.2161,                 1.3108,              0.0012875,              0.0012875,              0.0012875
                     17,                0.89837,                0.80542,                 1.1622,                0.91605,                0.83774,                0.93541,                0.66264,                 1.0927,                 1.0489,                 1.3544,              0.0012781,              0.0012781,              0.0012781
                     18,                0.87387,                0.77984,                 1.1456,                0.56886,                0.56877,                0.45241,                0.30653,                 1.3092,                  2.419,                 1.5508,              0.0012687,              0.0012687,              0.0012687
                     19,                0.90081,                0.77402,                 1.1287,                0.87007,                0.94006,                 0.9433,                0.67957,                 0.9657,                0.81511,                 1.2742,              0.0012592,              0.0012592,              0.0012592
                     20,                0.84584,                0.72276,                 1.1397,                0.95039,                0.92352,                0.98539,                0.73069,                0.99096,                0.75778,                 1.1913,              0.0012498,              0.0012498,              0.0012498
                     21,                0.84129,                0.78686,                 1.1262,                0.91841,                0.93979,                0.97374,                  0.681,                  1.148,                0.89584,                 1.4297,              0.0012404,              0.0012404,              0.0012404
                     22,                0.83914,                0.76914,                  1.148,                0.93582,                0.97349,                0.98226,                0.72709,                0.98007,                0.71474,                 1.2314,              0.0012309,              0.0012309,              0.0012309
                     23,                0.85746,                0.70529,                 1.1465,                0.87253,                0.82856,                0.87476,                0.68029,                0.87039,                0.99237,                 1.1603,              0.0012215,              0.0012215,              0.0012215
                     24,                0.82955,                0.67255,                 1.1123,                0.85008,                0.81375,                0.89721,                0.69798,                0.91207,                 1.0602,                 1.1649,              0.0012121,              0.0012121,              0.0012121
