                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0544,                 2.7842,                 1.3463,                0.00377,                      1,                0.57616,                0.43708,                0.80629,                 2.9699,                 1.1122,             0.00021435,             0.00021435,             0.00021435
                      2,                0.95896,                  1.724,                 1.2693,                      1,                 0.2902,                 0.8797,                0.60094,                 0.9597,                 2.6239,                 1.2724,              0.0004386,              0.0004386,              0.0004386
                      3,                0.93584,                  1.474,                 1.2409,                0.87844,                0.77433,                0.91762,                0.69639,                 1.0424,                 2.1075,                 1.3709,             0.00065833,             0.00065833,             0.00065833
                      4,                 0.9767,                 1.3574,                 1.2539,                0.74268,                0.59743,                0.79493,                0.56812,                 1.2095,                 2.4745,                 1.5338,             0.00087353,             0.00087353,             0.00087353
                      5,                 1.0276,                  1.279,                 1.2554,                0.96505,                0.48458,                0.87542,                0.63616,                0.99576,                 2.2357,                 1.2967,              0.0010842,              0.0010842,              0.0010842
                      6,                0.99925,                 1.1738,                 1.2131,                0.79658,                0.75112,                0.86049,                 0.6213,                 1.0003,                 2.0556,                 1.2454,              0.0012904,              0.0012904,              0.0012904
                      7,                0.91221,                 1.1486,                 1.1796,                0.93873,                 0.9166,                0.96092,                0.69175,                 1.1281,                 1.4842,                 1.4337,              0.0013441,              0.0013441,              0.0013441
                      8,                0.94836,                 1.1271,                  1.198,                0.70467,                0.63517,                0.84422,                0.57582,                 1.1348,                 3.2973,                 1.3964,                0.00133,                0.00133,                0.00133
                      9,                0.93739,                 1.0544,                 1.2035,                 0.5804,                0.60807,                0.55819,                0.31139,                  1.576,                 3.0631,                  2.065,              0.0013158,              0.0013158,              0.0013158
                     10,                0.96722,                 1.0419,                 1.2058,                0.76988,                 0.6144,                0.77841,                 0.4533,                  1.603,                 2.1687,                 2.0639,              0.0013017,              0.0013017,              0.0013017
                     11,                0.96245,                 1.0226,                 1.2027,                0.93216,                0.91183,                0.93732,                0.69248,                  1.045,                 1.2936,                 1.2631,              0.0012875,              0.0012875,              0.0012875
                     12,                0.93525,                0.97049,                 1.2247,                0.95405,                0.93493,                0.96499,                 0.7047,                 1.0122,                 1.1058,                  1.274,              0.0012734,              0.0012734,              0.0012734
                     13,                0.93149,                0.90134,                 1.2059,                 0.9823,                0.81192,                0.93679,                0.63722,                 1.2286,                 1.2937,                  1.437,              0.0012592,              0.0012592,              0.0012592
                     14,                0.97314,                0.97015,                  1.234,                    0.8,                0.90825,                0.94375,                0.63957,                 1.0683,                 1.4351,                 1.3704,              0.0012451,              0.0012451,              0.0012451
                     15,                  0.922,                0.84106,                 1.1745,                0.86547,                  0.875,                 0.9351,                0.68916,                 1.0257,                 1.2034,                 1.2678,              0.0012309,              0.0012309,              0.0012309
                     16,                0.88508,                  0.838,                 1.1523,                0.69325,                0.57042,                0.56101,                0.28967,                  2.285,                 2.9109,                 3.2324,              0.0012168,              0.0012168,              0.0012168
                     17,                0.87307,                0.81633,                 1.1585,                0.96119,                0.99567,                  0.995,                0.71912,                0.99461,                0.72557,                 1.1784,              0.0012026,              0.0012026,              0.0012026
                     18,                0.84956,                0.76293,                 1.1434,                0.90201,                0.81723,                 0.9006,                0.65349,                 1.0679,                 1.0784,                 1.3264,              0.0011885,              0.0011885,              0.0011885
                     19,                0.87295,                0.72548,                 1.1241,                0.75115,                0.96238,                0.88413,                0.66183,                0.92354,                  1.324,                 1.1694,              0.0011744,              0.0011744,              0.0011744
                     20,                0.84286,                0.69176,                 1.1153,                0.97191,                0.99874,                  0.995,                0.74468,                 1.0062,                0.72871,                 1.1903,              0.0011602,              0.0011602,              0.0011602
                     21,                0.83816,                0.72511,                 1.1242,                0.97389,                0.96663,                0.97105,                0.73619,                0.92131,                0.69922,                 1.1854,              0.0011461,              0.0011461,              0.0011461
                     22,                0.84132,                0.72068,                  1.166,                0.94899,                0.97724,                0.97379,                0.72303,                0.89169,                0.76865,                 1.1874,              0.0011319,              0.0011319,              0.0011319
                     23,                 0.8366,                0.68797,                 1.1382,                0.96476,                0.91934,                0.96886,                0.76646,                0.84169,                0.74086,                 1.1564,              0.0011178,              0.0011178,              0.0011178
                     24,                0.80554,                0.67134,                 1.1077,                0.96813,                0.94933,                0.97216,                0.74996,                 0.8994,                0.62446,                 1.1805,              0.0011036,              0.0011036,              0.0011036
                     25,                0.81407,                0.65629,                  1.124,                0.99604,                0.92978,                0.96519,                0.72541,                0.94202,                0.69514,                 1.2074,              0.0010895,              0.0010895,              0.0010895
                     26,                0.77902,                0.60545,                 1.0696,                0.99043,                0.93931,                 0.9832,                0.75068,                0.90687,                0.67718,                  1.141,              0.0010753,              0.0010753,              0.0010753
                     27,                0.78612,                0.59527,                 1.1013,                0.93966,                0.97229,                0.98604,                0.72707,                0.92214,                 0.6913,                 1.2299,              0.0010612,              0.0010612,              0.0010612
                     28,                0.77946,                0.58617,                 1.0903,                0.95034,                0.93708,                0.98389,                 0.7589,                0.84807,                0.70557,                 1.1176,               0.001047,               0.001047,               0.001047
                     29,                0.83052,                0.63733,                 1.1131,                0.73982,                0.91851,                0.78792,                0.58361,                 1.0396,                 1.4115,                 1.2288,              0.0010329,              0.0010329,              0.0010329
                     30,                0.83125,                0.60052,                  1.112,                0.90113,                0.92654,                0.95486,                0.71143,                0.92261,                0.79865,                 1.1411,              0.0010187,              0.0010187,              0.0010187
                     31,                0.79382,                0.60954,                 1.1208,                0.94579,                0.95154,                0.98473,                0.75333,                0.86281,                 0.5986,                 1.1073,              0.0010046,              0.0010046,              0.0010046
                     32,                0.80574,                0.59487,                 1.1176,                0.95037,                0.95833,                 0.9856,                  0.767,                0.86025,                0.56726,                  1.128,             0.00099044,             0.00099044,             0.00099044
                     33,                0.76205,                0.57626,                 1.0725,                0.97815,                0.97078,                 0.9805,                0.77272,                0.88401,                0.61126,                 1.1467,             0.00097629,             0.00097629,             0.00097629
                     34,                0.74332,                0.54956,                 1.0733,                0.82488,                0.80865,                0.84459,                 0.5836,                 1.1853,                   1.24,                 1.4024,             0.00096215,             0.00096215,             0.00096215
                     35,                0.74395,                0.55734,                 1.0725,                0.87964,                0.64728,                0.81696,                 0.5546,                 1.4305,                 1.5751,                 1.5716,               0.000948,               0.000948,               0.000948
                     36,                0.76335,                0.57456,                 1.0881,                 0.9714,                0.96162,                0.97861,                0.74782,                0.90693,                 0.5401,                  1.143,             0.00093385,             0.00093385,             0.00093385
                     37,                0.81652,                0.58118,                 1.1293,                0.93514,                0.92994,                0.98722,                0.73697,                 0.9399,                0.67514,                  1.174,              0.0009197,              0.0009197,              0.0009197
                     38,                0.75931,                0.57708,                 1.0954,                0.99464,                0.99095,                  0.995,                0.76748,                0.87739,                0.46016,                 1.1931,             0.00090556,             0.00090556,             0.00090556
                     39,                0.75119,                0.54342,                 1.0617,                0.97314,                0.99724,                  0.995,                0.74117,                0.95207,                0.51394,                 1.2142,             0.00089141,             0.00089141,             0.00089141
                     40,                  0.754,                0.52716,                 1.0806,                0.97724,                 0.9841,                  0.995,                0.75501,                0.88571,                0.51211,                 1.1211,             0.00087726,             0.00087726,             0.00087726
                     41,                0.75569,                0.52792,                 1.0788,                0.96317,                      1,                  0.995,                0.73149,                0.92695,                0.49856,                 1.1635,             0.00086312,             0.00086312,             0.00086312
                     42,                0.72096,                0.49844,                 1.0635,                0.96713,                      1,                  0.995,                0.75973,                0.80858,                 0.4289,                 1.1183,             0.00084897,             0.00084897,             0.00084897
                     43,                0.71869,                0.50059,                 1.0668,                0.99121,                0.99445,                  0.995,                0.75907,                0.85723,                0.44723,                 1.1432,             0.00083482,             0.00083482,             0.00083482
                     44,                0.73009,                0.50468,                 1.0741,                0.99336,                      1,                  0.995,                0.74452,                0.84556,                0.46532,                 1.1284,             0.00082067,             0.00082067,             0.00082067
                     45,                0.73697,                0.51643,                 1.0863,                0.97029,                      1,                  0.995,                0.77695,                0.81788,                0.41817,                 1.0742,             0.00080653,             0.00080653,             0.00080653
                     46,                0.70779,                0.55391,                 1.0467,                0.99063,                0.99682,                  0.995,                 0.7768,                0.86834,                0.43174,                 1.1189,             0.00079238,             0.00079238,             0.00079238
                     47,                0.71384,                0.49355,                 1.0475,                0.96587,                      1,                  0.995,                0.77011,                0.81754,                0.43414,                 1.0929,             0.00077823,             0.00077823,             0.00077823
                     48,                0.68665,                0.46876,                 1.0361,                0.98479,                0.95423,                0.97944,                0.75138,                 0.8458,                0.47126,                 1.1269,             0.00076409,             0.00076409,             0.00076409
                     49,                0.68526,                0.48812,                 1.0488,                0.97349,                0.97941,                0.98379,                0.77999,                0.82228,                0.49353,                 1.0822,             0.00074994,             0.00074994,             0.00074994
                     50,                0.72823,                0.56843,                  1.092,                0.99286,                0.96956,                0.98493,                0.78483,                0.85259,                0.48948,                 1.1004,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.7101,                0.49267,                 1.0855,                0.98524,                0.99224,                  0.995,                0.76638,                0.85266,                0.41018,                 1.1089,             0.00072164,             0.00072164,             0.00072164
                     52,                0.66295,                 0.4492,                 1.0315,                0.92814,                0.98619,                  0.995,                0.78733,                0.81677,                 0.5197,                 1.0804,              0.0007075,              0.0007075,              0.0007075
                     53,                0.67919,                0.45951,                 1.0491,                0.95851,                 0.9959,                0.97833,                0.74272,                0.84854,                0.48124,                 1.1176,             0.00069335,             0.00069335,             0.00069335
                     54,                0.68874,                0.46691,                 1.0462,                 0.9751,                      1,                0.98396,                0.76969,                0.87587,                0.44199,                 1.1634,              0.0006792,              0.0006792,              0.0006792
                     55,                0.68815,                 0.4648,                 1.0576,                0.97148,                0.99799,                0.98813,                0.73661,                0.87327,                0.44063,                 1.1678,             0.00066506,             0.00066506,             0.00066506
                     56,                0.68937,                0.44275,                 1.0484,                0.97515,                 0.9846,                0.99375,                0.75092,                0.87925,                0.45674,                 1.1707,             0.00065091,             0.00065091,             0.00065091
                     57,                0.65185,                 0.4664,                 1.0286,                0.97403,                      1,                0.99375,                0.77488,                0.87261,                0.42969,                 1.1527,             0.00063676,             0.00063676,             0.00063676
                     58,                0.63077,                0.42604,                  1.022,                0.97139,                      1,                  0.995,                0.78075,                0.87401,                0.41165,                 1.1331,             0.00062262,             0.00062262,             0.00062262
                     59,                0.65138,                0.43776,                 1.0243,                0.97654,                      1,                  0.995,                 0.7847,                0.82847,                0.39915,                 1.1045,             0.00060847,             0.00060847,             0.00060847
                     60,                0.62229,                0.44853,                 1.0185,                0.97294,                      1,                  0.995,                0.79058,                0.85056,                0.42178,                 1.0938,             0.00059432,             0.00059432,             0.00059432
                     61,                0.60989,                0.42204,                 1.0156,                0.98643,                      1,                  0.995,                0.78166,                0.82251,                0.39505,                 1.1042,             0.00058017,             0.00058017,             0.00058017
                     62,                0.61912,                0.40509,                0.99793,                0.98831,                      1,                  0.995,                 0.7709,                0.83544,                0.40589,                 1.1065,             0.00056603,             0.00056603,             0.00056603
                     63,                0.64113,                0.40996,                 1.0464,                 0.9748,                0.98411,                  0.995,                0.79103,                0.81344,                0.41917,                 1.0867,             0.00055188,             0.00055188,             0.00055188
                     64,                0.63214,                0.40732,                  1.013,                0.97731,                0.98294,                  0.995,                0.79304,                0.81847,                0.42556,                 1.0831,             0.00053773,             0.00053773,             0.00053773
                     65,                0.64118,                0.41398,                 1.0067,                0.98654,                0.99798,                  0.995,                0.77998,                0.83851,                0.37621,                 1.0908,             0.00052359,             0.00052359,             0.00052359
                     66,                0.60304,                 0.3987,                0.98943,                0.98304,                      1,                  0.995,                0.79278,                 0.8039,                0.35027,                 1.0923,             0.00050944,             0.00050944,             0.00050944
                     67,                0.57335,                0.38707,                0.98009,                0.97497,                      1,                  0.995,                0.81127,                0.77789,                0.35342,                 1.0777,             0.00049529,             0.00049529,             0.00049529
                     68,                 0.6001,                0.39389,                0.99453,                0.99573,                 0.9986,                  0.995,                0.77945,                0.80891,                0.38727,                 1.0496,             0.00048114,             0.00048114,             0.00048114
                     69,                0.61251,                0.39047,                 1.0279,                0.98723,                0.98246,                0.99417,                0.77809,                0.81906,                0.37796,                 1.0848,               0.000467,               0.000467,               0.000467
                     70,                0.60063,                0.39406,                 1.0186,                0.99321,                      1,                  0.995,                0.77147,                 0.8504,                 0.3722,                  1.132,             0.00045285,             0.00045285,             0.00045285
                     71,                0.55579,                0.36167,                0.98364,                0.98424,                      1,                  0.995,                0.77467,                0.81664,                0.38749,                 1.1061,              0.0004387,              0.0004387,              0.0004387
                     72,                 0.5676,                 0.3796,                0.98806,                0.97258,                      1,                  0.995,                0.77963,                0.81477,                0.37846,                 1.1155,             0.00042456,             0.00042456,             0.00042456
                     73,                0.55746,                0.37965,                0.99098,                0.98344,                0.99789,                  0.995,                0.78162,                0.80592,                0.35923,                 1.0824,             0.00041041,             0.00041041,             0.00041041
                     74,                0.55445,                 0.3975,                0.98759,                0.99006,                      1,                  0.995,                0.79779,                0.81026,                0.35912,                 1.0924,             0.00039626,             0.00039626,             0.00039626
                     75,                0.55301,                0.37339,                0.98404,                0.98535,                 0.9976,                  0.995,                0.78627,                0.81429,                0.35153,                 1.0904,             0.00038211,             0.00038211,             0.00038211
                     76,                0.54955,                0.36688,                 1.0072,                0.99446,                      1,                  0.995,                 0.8022,                0.79634,                0.34843,                 1.0835,             0.00036797,             0.00036797,             0.00036797
                     77,                0.58176,                0.37485,                 1.0231,                0.99033,                      1,                  0.995,                 0.7913,                0.80682,                0.34386,                 1.0746,             0.00035382,             0.00035382,             0.00035382
                     78,                0.56424,                0.37744,                0.99619,                 0.9889,                0.99409,                  0.995,                0.79195,                0.78371,                0.34883,                 1.0753,             0.00033967,             0.00033967,             0.00033967
                     79,                0.50651,                0.34917,                0.95712,                0.99001,                      1,                  0.995,                0.78332,                0.84642,                0.35834,                 1.1139,             0.00032553,             0.00032553,             0.00032553
                     80,                0.54742,                 0.3508,                0.98504,                0.98465,                      1,                  0.995,                 0.7863,                0.81915,                 0.3524,                 1.1154,             0.00031138,             0.00031138,             0.00031138
                     81,                0.52363,                0.35587,                0.98451,                 0.9727,                      1,                  0.995,                 0.7795,                0.84512,                0.38005,                 1.1243,             0.00029723,             0.00029723,             0.00029723
                     82,                0.50411,                0.36159,                0.95251,                0.96179,                0.99317,                  0.995,                0.79572,                0.83706,                0.38547,                 1.1311,             0.00028308,             0.00028308,             0.00028308
                     83,                 0.5377,                0.34934,                0.96146,                0.98126,                      1,                  0.995,                0.81489,                0.78523,                0.35799,                 1.0963,             0.00026894,             0.00026894,             0.00026894
                     84,                0.54401,                0.35936,                 0.9835,                0.99174,                      1,                  0.995,                0.80781,                0.79101,                0.33714,                 1.0865,             0.00025479,             0.00025479,             0.00025479
                     85,                0.52529,                0.35859,                0.96413,                0.99242,                      1,                  0.995,                0.79982,                0.78737,                0.33788,                 1.0735,             0.00024064,             0.00024064,             0.00024064
