                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9167,                0.81917,                 1.2064,                0.95008,                0.97917,                0.97391,                0.72643,                0.96028,                0.65522,                 1.1172,              0.0011083,              0.0011083,              0.0011083
                     36,                0.89094,                0.73924,                 1.1621,                 0.9492,                0.94095,                0.96876,                0.74678,                0.86503,                0.61862,                 1.0557,              0.0010989,              0.0010989,              0.0010989
                     37,                0.84098,                0.70143,                 1.1558,                0.97729,                0.93436,                0.95941,                0.74514,                0.86581,                 0.6373,                 1.0494,              0.0010895,              0.0010895,              0.0010895
                     38,                0.90155,                0.72538,                 1.1981,                0.96738,                0.96162,                0.96872,                0.74714,                0.88458,                 0.5878,                 1.0317,                0.00108,                0.00108,                0.00108
                     39,                0.90133,                0.72458,                 1.1961,                0.94276,                0.90305,                 0.9598,                0.74374,                0.84443,                0.67653,                 1.0533,              0.0010706,              0.0010706,              0.0010706
                     40,                0.90162,                0.72199,                 1.2092,                0.97201,                0.97917,                0.97559,                0.72351,                0.90919,                0.56934,                 1.0798,              0.0010612,              0.0010612,              0.0010612
                     41,                0.89665,                0.71152,                 1.1954,                0.97145,                0.97917,                0.97537,                0.75346,                0.84679,                0.56959,                 1.0072,              0.0010517,              0.0010517,              0.0010517
                     42,                0.88449,                0.70444,                 1.1937,                0.94955,                0.91857,                0.95784,                0.73244,                0.90953,                0.61175,                 1.0394,              0.0010423,              0.0010423,              0.0010423
                     43,                0.90207,                0.73148,                  1.193,                0.91442,                0.96162,                0.95372,                0.74658,                0.92793,                0.58178,                 1.0683,              0.0010329,              0.0010329,              0.0010329
                     44,                0.86503,                0.67615,                 1.1681,                0.95594,                0.96162,                 0.9737,                0.77429,                0.87258,                0.51942,                 1.0427,              0.0010234,              0.0010234,              0.0010234
                     45,                0.79838,                0.62941,                 1.1196,                0.95248,                0.94322,                0.97767,                0.79091,                 0.7926,                0.50492,                0.99167,               0.001014,               0.001014,               0.001014
                     46,                0.83683,                0.64991,                 1.1582,                0.96636,                0.97267,                0.97391,                0.75328,                0.84655,                0.57219,                 1.0334,              0.0010046,              0.0010046,              0.0010046
                     47,                0.91406,                0.70794,                 1.2296,                0.94596,                0.95762,                0.95923,                0.75306,                0.85559,                0.58477,                 1.0169,             0.00099516,             0.00099516,             0.00099516
                     48,                0.79791,                0.66308,                 1.1364,                 0.9873,                0.96162,                0.97483,                0.74817,                0.86422,                0.53805,                 1.0155,             0.00098572,             0.00098572,             0.00098572
                     49,                 0.8543,                0.66922,                 1.1627,                0.98354,                0.96162,                 0.9774,                0.75437,                0.88063,                0.51888,                 1.0387,             0.00097629,             0.00097629,             0.00097629
                     50,                0.82437,                0.60962,                 1.1582,                0.99122,                0.96146,                0.96338,                0.75332,                0.90336,                0.52522,                 1.0772,             0.00096686,             0.00096686,             0.00096686
                     51,                0.82301,                0.64495,                 1.1616,                0.96438,                0.96877,                0.99273,                0.77918,                0.82339,                0.50035,                0.99925,             0.00095743,             0.00095743,             0.00095743
                     52,                0.82594,                0.64832,                 1.1418,                0.97301,                0.99554,                  0.995,                0.76877,                0.84417,                0.46099,                 0.9929,               0.000948,               0.000948,               0.000948
                     53,                0.82772,                0.64795,                 1.1699,                0.99251,                0.94408,                0.95962,                0.77722,                0.83812,                0.50217,                   1.02,             0.00093857,             0.00093857,             0.00093857
                     54,                0.85054,                0.62662,                 1.1602,                0.96402,                0.96162,                0.96046,                0.77969,                0.83852,                 0.5122,                 1.0079,             0.00092914,             0.00092914,             0.00092914
                     55,                 0.7995,                0.59784,                  1.132,                0.99101,                0.97841,                  0.995,                0.79968,                0.79327,                0.41779,                0.97585,              0.0009197,              0.0009197,              0.0009197
                     56,                0.80738,                0.59938,                 1.1385,                 0.9733,                0.97917,                0.99382,                0.78573,                0.81653,                0.46114,                0.97901,             0.00091027,             0.00091027,             0.00091027
                     57,                0.82707,                0.59552,                 1.1596,                0.97748,                0.99581,                  0.995,                0.76129,                0.83706,                0.45367,                  1.008,             0.00090084,             0.00090084,             0.00090084
                     58,                0.80934,                 0.6067,                 1.1558,                0.97219,                0.98417,                0.99382,                0.75472,                0.91506,                  0.509,                 1.0486,             0.00089141,             0.00089141,             0.00089141
                     59,                0.84348,                0.59562,                 1.1585,                0.96884,                0.95014,                0.95862,                0.76786,                0.85009,                 0.4487,                 1.0057,             0.00088198,             0.00088198,             0.00088198
                     60,                0.80778,                0.62394,                 1.1468,                0.98391,                0.99067,                  0.995,                0.77104,                0.89514,                0.47606,                  1.017,             0.00087255,             0.00087255,             0.00087255
                     61,                0.82044,                0.60518,                 1.1478,                0.99157,                 0.9927,                  0.995,                 0.7869,                0.85344,                0.46438,                 1.0106,             0.00086312,             0.00086312,             0.00086312
                     62,                0.77998,                0.57861,                 1.1139,                 0.9801,                0.99287,                  0.995,                0.77133,                0.87394,                0.41562,                 1.0165,             0.00085368,             0.00085368,             0.00085368
                     63,                0.82962,                0.56507,                 1.1397,                0.98067,                      1,                  0.995,                0.77372,                0.82264,                0.43131,                 1.0093,             0.00084425,             0.00084425,             0.00084425
                     64,                0.76571,                0.55355,                 1.1211,                0.98424,                0.96548,                0.97913,                0.76001,                0.88203,                0.43058,                 1.0426,             0.00083482,             0.00083482,             0.00083482
                     65,                0.81248,                0.58888,                 1.1568,                0.98805,                0.98654,                  0.995,                0.77545,                0.85086,                 0.4364,                 1.0057,             0.00082539,             0.00082539,             0.00082539
                     66,                0.82322,                0.56626,                 1.1162,                0.98982,                0.99636,                  0.995,                0.79079,                0.81765,                0.40429,                0.99373,             0.00081596,             0.00081596,             0.00081596
                     67,                0.78775,                0.56075,                 1.1425,                0.97734,                0.97917,                0.99382,                0.78588,                0.78911,                0.41202,                0.97901,             0.00080653,             0.00080653,             0.00080653
                     68,                 0.8266,                0.57727,                 1.1299,                0.97355,                0.97917,                0.99382,                0.78176,                0.82212,                0.43246,                0.99699,              0.0007971,              0.0007971,              0.0007971
                     69,                0.78363,                0.53147,                 1.1284,                0.97788,                0.97917,                0.99382,                0.78793,                0.83991,                0.43058,                 1.0068,             0.00078766,             0.00078766,             0.00078766
                     70,                0.79898,                0.54223,                 1.1226,                0.97523,                0.98142,                0.99375,                0.80224,                0.79065,                0.41615,                0.98929,             0.00077823,             0.00077823,             0.00077823
                     71,                  0.752,                0.52402,                 1.0968,                0.98877,                      1,                  0.995,                0.76137,                0.87252,                0.42503,                 1.0008,              0.0007688,              0.0007688,              0.0007688
                     72,                 0.7827,                0.52901,                 1.1077,                0.99262,                      1,                  0.995,                0.77249,                0.84028,                  0.422,                0.99304,             0.00075937,             0.00075937,             0.00075937
                     73,                0.77639,                0.54391,                 1.1036,                0.97379,                0.97917,                  0.991,                0.79211,                 0.8072,                0.50895,                0.98704,             0.00074994,             0.00074994,             0.00074994
                     74,                0.75813,                0.52792,                   1.11,                 0.9761,                0.98223,                 0.9915,                0.78412,                0.84624,                0.41447,                 1.0089,             0.00074051,             0.00074051,             0.00074051
                     75,                0.74535,                0.53544,                 1.1013,                0.97036,                0.97917,                0.97663,                0.76969,                0.85459,                0.42228,                 1.0164,             0.00073108,             0.00073108,             0.00073108
                     76,                0.71605,                0.52063,                  1.089,                0.97739,                0.98904,                  0.995,                0.78863,                0.83413,                0.41273,                 0.9959,             0.00072164,             0.00072164,             0.00072164
                     77,                0.71171,                0.50014,                 1.0951,                0.98748,                0.99357,                  0.995,                0.79657,                0.84812,                0.41252,                 1.0004,             0.00071221,             0.00071221,             0.00071221
                     78,                0.73336,                0.51281,                  1.065,                0.98737,                0.97767,                 0.9758,                0.78914,                0.84233,                0.41428,                 1.0215,             0.00070278,             0.00070278,             0.00070278
                     79,                0.76586,                0.53644,                 1.1132,                0.98386,                0.95452,                0.97364,                0.77835,                 0.8449,                0.40601,                 1.0295,             0.00069335,             0.00069335,             0.00069335
                     80,                0.73688,                0.49409,                 1.1054,                0.97139,                0.97061,                0.97614,                0.77924,                 0.8387,                0.40227,                 1.0208,             0.00068392,             0.00068392,             0.00068392
                     81,                0.71113,                0.48793,                 1.0842,                0.98697,                0.95328,                0.96138,                0.76997,                 0.8234,                0.39997,                 1.0131,             0.00067449,             0.00067449,             0.00067449
                     82,                0.69201,                0.49997,                 1.0829,                0.98338,                0.96667,                0.97977,                0.76424,                0.84835,                0.37899,                 1.0148,             0.00066506,             0.00066506,             0.00066506
                     83,                0.73036,                0.49991,                 1.0893,                0.96931,                0.96162,                0.96517,                0.78873,                0.80714,                0.36661,                0.99717,             0.00065563,             0.00065563,             0.00065563
                     84,                0.76136,                0.52364,                  1.107,                0.97148,                0.96162,                0.96368,                0.79322,                0.78296,                0.35651,                 1.0019,             0.00064619,             0.00064619,             0.00064619
                     85,                0.73072,                0.52211,                 1.1028,                0.99193,                      1,                  0.995,                0.78414,                0.82602,                 0.3817,                 1.0112,             0.00063676,             0.00063676,             0.00063676
                     86,                0.71562,                0.50003,                 1.0973,                0.98856,                      1,                  0.995,                0.79546,                0.82869,                0.38148,                 1.0179,             0.00062733,             0.00062733,             0.00062733
                     87,                0.72892,                0.47995,                 1.0927,                0.99391,                      1,                  0.995,                0.79905,                0.79081,                 0.3762,                0.98723,              0.0006179,              0.0006179,              0.0006179
                     88,                0.76292,                0.52057,                 1.1103,                0.99116,                0.99932,                  0.995,                0.79311,                0.82237,                0.37073,                  1.001,             0.00060847,             0.00060847,             0.00060847
                     89,                0.69016,                0.47556,                 1.0697,                0.98325,                0.98806,                  0.995,                0.80436,                 0.7559,                0.34807,                0.97351,             0.00059904,             0.00059904,             0.00059904
                     90,                0.72016,                0.48799,                 1.1036,                0.97388,                0.99916,                  0.995,                0.80285,                0.77152,                0.35636,                0.97297,             0.00058961,             0.00058961,             0.00058961
