                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0544,                 2.7842,                 1.3463,                0.00377,                      1,                0.57616,                0.43708,                0.80629,                 2.9699,                 1.1122,             0.00021435,             0.00021435,             0.00021435
                      2,                0.95167,                 1.7269,                 1.2665,                      1,                0.31751,                0.88863,                0.62354,                0.95669,                 2.5963,                 1.2602,             0.00042106,             0.00042106,             0.00042106
                      3,                0.95127,                 1.4377,                 1.2439,                0.90777,                0.83238,                0.91383,                0.69999,                0.96523,                 2.0223,                 1.2582,             0.00060514,             0.00060514,             0.00060514
                      4,                0.97481,                 1.3238,                 1.2341,                0.89568,                0.85824,                 0.9411,                0.69733,                 1.0132,                 1.9747,                 1.3504,             0.00076658,             0.00076658,             0.00076658
                      5,                 1.0007,                 1.2357,                 1.2334,                0.89475,                0.76779,                0.93479,                0.69567,                 0.9417,                 1.6167,                 1.1814,             0.00090539,             0.00090539,             0.00090539
                      6,                0.94747,                 1.1165,                 1.1872,                 0.9071,                0.91614,                0.95386,                0.71342,                 1.0297,                 1.2996,                 1.2351,              0.0010216,              0.0010216,              0.0010216
                      7,                0.90652,                 1.0847,                 1.1866,                0.90418,                0.86697,                0.95657,                0.70252,                 1.0371,                 1.3912,                 1.2644,              0.0010046,              0.0010046,              0.0010046
                      8,                0.94262,                 1.0582,                 1.1891,                0.84975,                0.89944,                0.93103,                0.68622,                  0.951,                 1.6366,                 1.2484,             0.00093385,             0.00093385,             0.00093385
                      9,                0.90471,                 1.0093,                 1.1768,                0.92701,                0.91071,                0.95928,                0.75271,                0.92138,                 1.2758,                  1.204,             0.00086312,             0.00086312,             0.00086312
                     10,                0.90269,                0.96834,                 1.1662,                0.90958,                0.97424,                0.97532,                0.71596,                0.97207,                 1.1403,                  1.275,             0.00079238,             0.00079238,             0.00079238
                     11,                0.85099,                 1.4518,                 1.2035,                0.74958,                0.71676,                0.81201,                0.56118,                  1.207,                 1.8788,                 1.4361,             0.00072164,             0.00072164,             0.00072164
                     12,                0.83618,                 1.3085,                 1.2223,                0.92082,                 0.9057,                0.96187,                0.74717,                 0.9303,                 1.2575,                 1.1997,             0.00065091,             0.00065091,             0.00065091
                     13,                0.78266,                 1.1201,                 1.1129,                  0.977,                0.95673,                 0.9738,                0.76276,                0.88749,                  1.006,                 1.1526,             0.00058017,             0.00058017,             0.00058017
                     14,                0.74095,                 1.0461,                 1.1124,                0.94567,                0.95216,                0.97365,                0.76351,                0.86256,                0.89374,                 1.1408,             0.00050944,             0.00050944,             0.00050944
                     15,                0.75751,                 1.0027,                 1.1196,                0.97505,                0.97917,                0.99278,                0.75927,                0.84879,                0.88409,                 1.0822,              0.0004387,              0.0004387,              0.0004387
                     16,                 0.7361,                0.98611,                 1.0906,                0.97251,                0.97518,                0.98871,                0.74738,                0.89709,                0.88598,                 1.1304,             0.00036797,             0.00036797,             0.00036797
                     17,                0.68504,                0.94417,                 1.0833,                0.97227,                0.97917,                0.97631,                0.76412,                0.89442,                0.80319,                 1.1264,             0.00029723,             0.00029723,             0.00029723
                     18,                0.67984,                0.89996,                 1.0738,                0.97494,                0.97917,                0.98262,                0.77937,                0.80523,                0.72309,                 1.0959,              0.0002265,              0.0002265,              0.0002265
                     19,                0.66951,                0.86082,                 1.0498,                0.98456,                0.99989,                  0.995,                0.79569,                0.79732,                0.72555,                 1.0923,             0.00015576,             0.00015576,             0.00015576
                     20,                 0.6788,                0.86178,                 1.0287,                0.98462,                0.99988,                  0.995,                0.78868,                0.78944,                0.71846,                 1.0845,             8.5026e-05,             8.5026e-05,             8.5026e-05
