                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0513,                 2.4625,                 1.3672,                0.65147,                0.87158,                 0.8173,                0.59551,                0.90672,                 1.8882,                 1.0915,             0.00047045,             0.00047045,             0.00047045
                      2,                 1.0644,                 1.8168,                 1.3733,                0.81642,                0.88158,                0.89224,                0.63883,                0.99323,                 2.2729,                  1.193,             0.00093741,             0.00093741,             0.00093741
                      3,                 1.0733,                 1.6501,                 1.3402,                  0.921,                0.95718,                0.96556,                0.68634,                0.97603,                 1.5851,                 1.1914,              0.0013949,              0.0013949,              0.0013949
                      4,                 1.0686,                 1.5916,                 1.3457,                 0.9349,                0.91613,                0.94227,                0.66932,                 1.0133,                 1.4304,                 1.2251,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.0723,                 1.5278,                 1.3447,                0.96385,                0.91671,                0.96136,                0.71684,                 1.0407,                 1.4355,                 1.2329,              0.0013724,              0.0013724,              0.0013724
                      6,                  1.084,                 1.5439,                 1.3503,                0.88658,                0.93679,                0.95982,                0.69917,                 1.0056,                 1.3271,                 1.1884,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.0496,                 1.4249,                 1.3059,                0.92489,                0.90994,                0.93944,                0.69641,                0.99085,                 1.2724,                 1.1699,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.0606,                 1.3572,                 1.3295,                0.88474,                0.95589,                 0.9579,                 0.7164,                0.98999,                  1.264,                 1.1628,                0.00133,                0.00133,                0.00133
                      9,                 1.0572,                 1.3182,                  1.303,                0.91413,                0.91483,                0.95394,                0.70464,                 0.9391,                 1.1645,                 1.1692,              0.0013158,              0.0013158,              0.0013158
                     10,                0.98584,                 1.2253,                 1.2992,                0.96468,                0.91894,                0.96121,                0.74129,                0.90057,                0.95003,                 1.1339,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0553,                 1.1929,                 1.3147,                0.89085,                0.96497,                0.94811,                0.69956,                 0.9788,                 1.1449,                  1.212,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0442,                 1.2742,                 1.3168,                0.96493,                0.95725,                0.97348,                0.71053,                 1.0386,                0.98197,                 1.2314,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0037,                 1.2148,                 1.2754,                0.97388,                 0.9493,                0.96859,                 0.7433,                0.91598,                0.85405,                 1.1445,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0084,                 1.0911,                 1.2962,                0.95787,                0.90899,                0.95593,                0.71127,                 1.0001,                0.89813,                 1.1758,              0.0012451,              0.0012451,              0.0012451
                     15,                0.98293,                 1.0551,                 1.2595,                0.98457,                0.95584,                0.96118,                0.73954,                0.91412,                0.78382,                 1.1353,              0.0012309,              0.0012309,              0.0012309
                     16,                0.97972,                0.99694,                  1.269,                 0.9695,                0.95799,                0.95985,                 0.7082,                0.91737,                 0.8494,                 1.1434,              0.0012168,              0.0012168,              0.0012168
                     17,                0.98254,                 1.0289,                 1.2391,                0.96936,                0.96162,                0.96497,                0.74963,                0.85407,                0.73293,                 1.0934,              0.0012026,              0.0012026,              0.0012026
                     18,                0.97954,                0.99203,                 1.2589,                0.99214,                0.97647,                0.97508,                0.74457,                0.86014,                0.70546,                 1.1047,              0.0011885,              0.0011885,              0.0011885
                     19,                0.98614,                0.92949,                 1.2649,                0.98849,                0.94408,                 0.9719,                0.70903,                0.95073,                0.66035,                   1.15,              0.0011744,              0.0011744,              0.0011744
                     20,                0.91401,                0.86959,                 1.1937,                 0.9739,                0.96276,                0.97434,                0.75294,                0.88804,                0.64719,                 1.0796,              0.0011602,              0.0011602,              0.0011602
                     21,                0.93424,                0.88391,                 1.2081,                0.97493,                0.96812,                 0.9744,                0.76203,                0.83855,                0.63923,                 1.0734,              0.0011461,              0.0011461,              0.0011461
                     22,                0.93058,                0.86413,                 1.2191,                0.96504,                0.96932,                0.97608,                0.75324,                0.86507,                0.65542,                 1.0942,              0.0011319,              0.0011319,              0.0011319
                     23,                0.92412,                0.86962,                 1.2232,                 0.9491,                 0.9472,                0.97452,                  0.762,                0.82564,                0.71959,                  1.078,              0.0011178,              0.0011178,              0.0011178
                     24,                0.90504,                0.80356,                 1.1961,                0.95573,                0.97648,                 0.9757,                0.75237,                0.86136,                0.64973,                 1.0801,              0.0011036,              0.0011036,              0.0011036
                     25,                0.95178,                0.83943,                  1.231,                0.95443,                0.94546,                0.97955,                0.74753,                0.88333,                0.64971,                 1.0656,              0.0010895,              0.0010895,              0.0010895
                     26,                 0.9175,                0.80874,                 1.2059,                0.98227,                0.92177,                0.96268,                0.70166,                0.95969,                0.73208,                 1.1475,              0.0010753,              0.0010753,              0.0010753
                     27,                0.88863,                0.78613,                 1.1847,                 0.9478,                0.91996,                0.95452,                0.74616,                0.88693,                0.68205,                 1.1088,              0.0010612,              0.0010612,              0.0010612
                     28,                0.85371,                0.75216,                 1.1649,                0.96348,                0.95982,                 0.9872,                0.78208,                0.81696,                0.64955,                 1.0712,               0.001047,               0.001047,               0.001047
                     29,                0.86789,                0.76777,                 1.1945,                0.99454,                0.95121,                0.98049,                0.76802,                0.83843,                0.57474,                 1.0745,              0.0010329,              0.0010329,              0.0010329
                     30,                0.85641,                0.75723,                 1.1717,                0.97216,                0.96162,                0.98206,                0.76213,                0.90332,                0.55668,                 1.0914,              0.0010187,              0.0010187,              0.0010187
                     31,                0.84393,                0.72181,                 1.1868,                0.94334,                0.96465,                0.97535,                0.76336,                0.85067,                0.54475,                 1.0938,              0.0010046,              0.0010046,              0.0010046
                     32,                0.87026,                0.74386,                 1.1818,                0.98203,                0.96262,                0.97513,                0.74136,                0.93926,                0.55635,                  1.134,             0.00099044,             0.00099044,             0.00099044
                     33,                0.89249,                0.72234,                 1.2018,                0.97909,                0.97917,                0.97551,                0.76272,                0.83856,                0.55035,                 1.0857,             0.00097629,             0.00097629,             0.00097629
                     34,                0.86445,                0.68639,                 1.1557,                0.97603,                0.99644,                  0.995,                 0.7626,                0.92912,                 0.5342,                 1.1144,             0.00096215,             0.00096215,             0.00096215
                     35,                0.87127,                0.68827,                  1.202,                0.95075,                 0.9962,                  0.995,                0.78077,                0.84455,                 0.5094,                 1.0987,               0.000948,               0.000948,               0.000948
                     36,                0.83788,                 0.6587,                 1.1345,                0.93214,                0.99836,                  0.995,                0.76425,                0.89332,                0.52229,                 1.1058,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.7958,                0.64639,                 1.1135,                0.98861,                0.97635,                0.98955,                0.79358,                0.81261,                0.52189,                  1.045,              0.0009197,              0.0009197,              0.0009197
                     38,                0.82511,                0.66411,                 1.1652,                0.96872,                0.99068,                  0.995,                0.79857,                0.78752,                0.50194,                 1.0468,             0.00090556,             0.00090556,             0.00090556
                     39,                  0.835,                0.70276,                 1.1504,                0.95354,                0.98656,                0.99265,                0.78322,                 0.8143,                0.50289,                 1.0479,             0.00089141,             0.00089141,             0.00089141
                     40,                0.84422,                0.68849,                 1.1628,                0.98058,                0.97917,                0.98389,                0.78391,                0.80688,                0.47372,                 1.0528,             0.00087726,             0.00087726,             0.00087726
                     41,                0.85884,                0.65915,                 1.1658,                0.98365,                0.96162,                0.99299,                 0.8013,                0.78631,                0.49476,                 1.0494,             0.00086312,             0.00086312,             0.00086312
                     42,                0.83008,                0.63469,                 1.1485,                0.97282,                0.97917,                0.98955,                0.75624,                0.88656,                0.52148,                 1.0987,             0.00084897,             0.00084897,             0.00084897
                     43,                0.80858,                0.63477,                 1.1398,                0.97294,                0.97917,                0.98199,                0.74557,                0.87124,                0.53303,                 1.1328,             0.00083482,             0.00083482,             0.00083482
                     44,                 0.8006,                 0.5777,                 1.1379,                0.97434,                0.97917,                0.99184,                0.75437,                0.87242,                0.49607,                 1.1393,             0.00082067,             0.00082067,             0.00082067
                     45,                0.75887,                0.58679,                 1.1013,                0.97699,                0.97664,                0.99382,                0.77351,                0.87672,                 0.4856,                 1.1041,             0.00080653,             0.00080653,             0.00080653
                     46,                0.79365,                0.57967,                 1.1447,                0.99422,                0.97515,                0.99184,                0.75441,                0.89201,                  0.489,                 1.0986,             0.00079238,             0.00079238,             0.00079238
                     47,                0.80889,                0.60636,                 1.1266,                0.97683,                0.96393,                0.99382,                0.78858,                0.81692,                0.47953,                 1.0544,             0.00077823,             0.00077823,             0.00077823
                     48,                0.75934,                0.58607,                 1.1199,                0.96552,                0.98849,                0.99382,                0.78056,                0.86946,                0.46694,                 1.0759,             0.00076409,             0.00076409,             0.00076409
                     49,                 0.7751,                0.57254,                 1.1015,                0.97321,                0.97398,                0.99382,                0.77124,                0.85919,                0.47367,                 1.1018,             0.00074994,             0.00074994,             0.00074994
                     50,                0.77123,                0.56137,                 1.1335,                0.98765,                0.98656,                  0.995,                0.78927,                0.80179,                0.44934,                 1.0808,             0.00073579,             0.00073579,             0.00073579
                     51,                0.77125,                0.55957,                 1.1126,                  0.975,                      1,                  0.995,                0.77683,                0.84238,                0.47126,                 1.0802,             0.00072164,             0.00072164,             0.00072164
                     52,                0.80728,                0.58073,                 1.1278,                0.98945,                      1,                  0.995,                0.78252,                0.85247,                0.45587,                 1.0816,              0.0007075,              0.0007075,              0.0007075
                     53,                0.76677,                 0.5564,                 1.1216,                0.98795,                0.99747,                  0.995,                0.76964,                0.84638,                0.44256,                 1.0481,             0.00069335,             0.00069335,             0.00069335
                     54,                0.78273,                0.55478,                 1.1296,                 0.9887,                 0.9728,                0.99184,                0.75807,                0.87592,                0.44537,                 1.0587,              0.0006792,              0.0006792,              0.0006792
                     55,                0.78431,                0.53792,                 1.1062,                0.98087,                0.97692,                 0.9791,                0.76571,                0.85775,                0.46032,                  1.059,             0.00066506,             0.00066506,             0.00066506
                     56,                 0.7649,                0.57677,                  1.122,                0.96773,                0.97369,                0.99216,                0.76812,                0.82181,                0.46726,                 1.0524,             0.00065091,             0.00065091,             0.00065091
                     57,                0.75542,                0.54469,                 1.0992,                0.98926,                0.95675,                0.99299,                0.77604,                0.81236,                0.44058,                 1.0709,             0.00063676,             0.00063676,             0.00063676
                     58,                0.77679,                0.54815,                 1.1016,                0.96596,                0.97589,                0.99382,                0.76766,                0.89982,                0.44577,                 1.0991,             0.00062262,             0.00062262,             0.00062262
                     59,                0.76431,                 0.5488,                 1.1215,                0.96988,                0.97615,                0.98567,                  0.787,                0.81721,                0.44459,                 1.0533,             0.00060847,             0.00060847,             0.00060847
                     60,                0.76363,                0.52218,                 1.0868,                0.96168,                0.97784,                0.98567,                0.77646,                0.83488,                0.43968,                 1.0564,             0.00059432,             0.00059432,             0.00059432
                     61,                0.70796,                 0.4999,                 1.0857,                0.97479,                0.98521,                  0.995,                0.81147,                0.78638,                0.41388,                 1.0421,             0.00058017,             0.00058017,             0.00058017
                     62,                0.73407,                0.51073,                 1.1108,                0.97619,                0.98102,                  0.995,                0.80946,                0.78017,                0.41148,                 1.0408,             0.00056603,             0.00056603,             0.00056603
                     63,                0.71571,                0.50216,                 1.0732,                0.97144,                      1,                  0.995,                 0.8029,                 0.7817,                0.40849,                 1.0433,             0.00055188,             0.00055188,             0.00055188
                     64,                0.70916,                0.50822,                 1.0866,                0.97289,                      1,                  0.995,                0.81068,                0.80145,                0.40808,                 1.0666,             0.00053773,             0.00053773,             0.00053773
                     65,                0.69922,                0.50163,                 1.0878,                0.97265,                0.98915,                  0.995,                0.80026,                0.78633,                0.39514,                 1.0459,             0.00052359,             0.00052359,             0.00052359
                     66,                0.70212,                0.47314,                 1.0667,                0.97114,                0.99256,                  0.995,                0.79793,                0.75827,                0.37822,                 1.0463,             0.00050944,             0.00050944,             0.00050944
                     67,                  0.725,                0.50225,                 1.1079,                0.97087,                0.99116,                  0.995,                0.79522,                0.78645,                0.39758,                 1.0582,             0.00049529,             0.00049529,             0.00049529
                     68,                0.72113,                0.47639,                 1.0729,                0.97206,                0.99503,                  0.995,                0.78691,                0.80778,                0.39507,                 1.0513,             0.00048114,             0.00048114,             0.00048114
                     69,                0.73427,                0.49408,                  1.081,                0.97455,                0.96642,                0.98731,                0.78749,                 0.8371,                0.40297,                 1.0818,               0.000467,               0.000467,               0.000467
                     70,                0.71051,                0.49182,                  1.088,                0.97249,                0.96326,                0.97833,                0.78186,                0.83524,                0.43147,                 1.0915,             0.00045285,             0.00045285,             0.00045285
                     71,                0.66205,                0.46263,                  1.058,                0.97288,                0.96951,                0.97823,                0.77606,                0.86157,                0.43587,                 1.0608,              0.0004387,              0.0004387,              0.0004387
                     72,                 0.6565,                0.44983,                 1.0325,                0.98766,                0.96309,                 0.9758,                0.78966,                0.83438,                0.41238,                 1.0552,             0.00042456,             0.00042456,             0.00042456
                     73,                0.68999,                0.47109,                  1.079,                0.98456,                0.96892,                0.97576,                0.79457,                0.82145,                0.39226,                  1.057,             0.00041041,             0.00041041,             0.00041041
                     74,                0.67322,                0.47209,                 1.0656,                0.97553,                0.96382,                0.97639,                0.79477,                0.82317,                0.38639,                 1.0481,             0.00039626,             0.00039626,             0.00039626
                     75,                0.67715,                 0.4593,                 1.0475,                0.97069,                0.99748,                  0.995,                0.78962,                0.82568,                0.39294,                 1.0504,             0.00038211,             0.00038211,             0.00038211
                     76,                0.69631,                0.46409,                 1.0731,                0.99161,                 0.9647,                 0.9759,                0.77556,                0.83142,                0.40956,                 1.0625,             0.00036797,             0.00036797,             0.00036797
                     77,                0.65576,                0.43537,                 1.0347,                0.98119,                0.96347,                0.99417,                0.78291,                0.82468,                0.39934,                 1.0605,             0.00035382,             0.00035382,             0.00035382
                     78,                0.68456,                0.46349,                 1.0653,                0.98214,                0.96345,                0.97586,                0.76748,                0.84422,                0.39552,                 1.1186,             0.00033967,             0.00033967,             0.00033967
                     79,                0.67787,                0.44662,                 1.0668,                0.98948,                0.97295,                0.97613,                0.78171,                0.85974,                0.40687,                 1.1038,             0.00032553,             0.00032553,             0.00032553
                     80,                0.63981,                0.42161,                 1.0404,                0.97751,                0.98534,                  0.995,                0.77958,                0.83504,                0.38813,                 1.0889,             0.00031138,             0.00031138,             0.00031138
                     81,                0.62266,                0.43061,                 1.0275,                0.98588,                 0.9425,                0.99273,                0.77336,                0.84761,                0.39943,                 1.1037,             0.00029723,             0.00029723,             0.00029723
                     82,                 0.6094,                0.41732,                 1.0242,                0.95576,                0.98115,                0.99417,                0.78706,                0.82356,                0.38956,                 1.0758,             0.00028308,             0.00028308,             0.00028308
                     83,                0.65115,                0.43262,                 1.0568,                 0.9713,                0.99134,                  0.995,                0.79177,                0.83139,                0.40238,                 1.0616,             0.00026894,             0.00026894,             0.00026894
                     84,                0.65728,                0.43998,                 1.0454,                0.97078,                0.99381,                  0.995,                0.78722,                0.83224,                0.39443,                  1.073,             0.00025479,             0.00025479,             0.00025479
                     85,                0.62401,                0.42304,                 1.0322,                0.97164,                0.99444,                  0.995,                0.77095,                0.82569,                0.39092,                 1.0752,             0.00024064,             0.00024064,             0.00024064
                     86,                0.63227,                0.42609,                 1.0547,                0.97719,                0.98868,                  0.995,                0.78887,                0.80634,                0.37594,                 1.0632,              0.0002265,              0.0002265,              0.0002265
                     87,                0.62193,                0.41109,                  1.027,                0.98179,                0.98976,                  0.995,                0.78771,                0.80315,                0.36534,                 1.0606,             0.00021235,             0.00021235,             0.00021235
                     88,                 0.6333,                0.43047,                 1.0178,                0.98058,                0.99611,                  0.995,                 0.7778,                0.81691,                0.35867,                 1.0724,              0.0001982,              0.0001982,              0.0001982
                     89,                0.59789,                0.40617,                 1.0185,                0.97723,                 0.9967,                  0.995,                0.78299,                0.81647,                0.35846,                 1.0713,             0.00018406,             0.00018406,             0.00018406
                     90,                0.60779,                0.40962,                 1.0275,                0.98635,                0.99896,                  0.995,                0.78069,                0.82094,                0.35161,                 1.0743,             0.00016991,             0.00016991,             0.00016991
                     91,                0.53368,                 0.3706,                 0.9833,                0.99027,                 0.9994,                  0.995,                0.78169,                0.83265,                0.36863,                 1.0963,             0.00015576,             0.00015576,             0.00015576
                     92,                0.51307,                0.36623,                0.96393,                0.98824,                0.99496,                  0.995,                0.79655,                0.82683,                0.36481,                 1.0964,             0.00014161,             0.00014161,             0.00014161
                     93,                0.48318,                0.34351,                0.93945,                0.98775,                0.99087,                  0.995,                0.80239,                  0.803,                 0.3613,                 1.0713,             0.00012747,             0.00012747,             0.00012747
                     94,                0.48751,                0.33874,                 0.9411,                0.98808,                 0.9941,                  0.995,                 0.7879,                 0.8043,                0.36067,                 1.0691,             0.00011332,             0.00011332,             0.00011332
                     95,                0.47652,                0.33015,                0.95171,                0.98934,                0.99442,                  0.995,                0.78669,                0.80865,                0.36666,                 1.0744,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.47882,                0.33037,                0.93482,                0.99083,                0.98842,                  0.995,                0.79551,                0.80308,                 0.3667,                 1.0743,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.48056,                 0.3321,                0.96901,                0.98737,                0.99073,                  0.995,                0.78972,                0.80678,                 0.3697,                  1.069,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.48546,                 0.3248,                0.94516,                0.98993,                0.99143,                  0.995,                0.78725,                0.81131,                0.37221,                 1.0702,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.47396,                 0.3289,                0.94706,                0.98862,                0.99394,                  0.995,                0.78885,                 0.8212,                0.37866,                  1.078,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.46797,                0.32326,                0.93097,                0.98952,                0.99728,                  0.995,                0.78941,                0.82045,                0.37476,                 1.0697,             2.8437e-05,             2.8437e-05,             2.8437e-05
